actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
0.32174146,7.668376e-06,18.92273,-0.0011386713,0.0054619364,0.004355535,5.618542,1.842026,1.8129443,1.7497412,127.59285,5.9661617,127.0751,0.9999994,0.14280577,-0.99999905,806,0.6837571,239,161.2,101,5,53.68947755380006,1634.4994587898254,1149.012720489502,710.9517645835876,5,374.67374598840803,0.13372463,161.1290322580645,2425.5189452171326,1118.7931618998127,612.0588879585266,31,471.68478893630726,730663.0,75.67137813568115,5000.0,1656.434532880783,840001.0
0.32004663,-5.1380425e-06,19.043705,-0.0011426323,0.0054459306,0.004380062,5.6233153,1.7204113,1.6913,1.7672051,127.4809,6.1350803,126.96129,0.99999964,0.13612534,-0.9999969,799,0.67991555,228,159.8,59,5,59.89457404473297,1586.480405330658,1151.3093772888183,433.88205909729004,5,421.97226650209393,0.14887978,145.6764705882353,1721.2328786849976,1005.3886469392215,510.928484916687,34,287.37773517512613,730697.0,75.42649364471436,5000.0,1731.9712262153625,845001.0
0.31492144,2.7458475e-05,19.173622,-0.0011957112,0.005326207,0.004455227,5.6320944,1.6054388,1.5763054,1.7776558,127.44905,6.358787,126.92624,0.9999996,0.13014318,-0.9999985,895,0.67733175,249,179.0,88,5,56.26011020252271,1859.7522864341736,1284.1346972465515,612.1896905899048,5,417.1179707615614,0.14898704,164.06451612903226,2223.8774094581604,1140.4084605401563,519.0839419364929,31,438.62935887261494,730728.0,75.60954403877258,5000.0,1807.6871573925018,850001.0
0.30705255,-2.4004414e-06,19.314478,-0.0012285288,0.005222294,0.00451199,5.638562,1.4724925,1.4429965,1.7813994,127.55194,6.4684024,127.01862,0.99999934,0.17959954,-0.9999977,498,0.7010874,111,99.6,90,5,7.28285658241325,735.7884583473206,673.5159104347229,627.3880681991577,5,36.016718066558745,0.14469062,158.03125,2000.8997964859009,1097.9034342318773,551.7227578163147,32,379.5354020779161,730760.0,75.84922051429749,5000.0,1883.643904209137,855001.0
0.30406076,1.3869109e-05,19.423952,-0.001221309,0.005155164,0.004523381,5.6464405,1.3660274,1.3367041,1.7855424,127.39638,6.6397033,126.86458,0.99999994,0.13394982,-0.99999374,795,0.6812942,264,159.0,17,5,85.49853799919622,1956.4031500816345,1166.6152274131775,121.86212968826294,5,637.5543263283529,0.15814385,139.45714285714286,2044.4755849838257,945.3779252324786,593.1852746009827,35,318.19755817958634,730795.0,75.81530857086182,5000.0,1959.5671594142914,860001.0
0.30234227,-2.346894e-05,19.512064,-0.0012484184,0.0051632873,0.0045654695,5.6286135,1.1981149,1.168257,1.7871779,127.41101,6.8082547,126.87361,0.9999996,0.12109805,-0.9999987,946,0.6807938,276,189.2,100,5,71.0363287339654,2055.0683946609497,1389.786719417572,690.946840763092,5,547.2857720849172,0.1391792,164.09677419354838,2765.4550857543945,1143.7204761812764,489.04023694992065,31,520.2127264196511,730826.0,75.91190719604492,5000.0,2035.588377714157,865001.0
0.29769868,-1.44952755e-05,19.59048,-0.0012699016,0.005075373,0.004600283,5.6320124,1.105979,1.0764606,1.7781903,127.23332,6.919803,126.6994,0.9999998,0.14362852,-0.9999973,893,0.68487406,241,178.6,90,5,61.833971245586355,1783.4240336418152,1314.400597667694,625.1504454612732,5,490.139042701626,0.15193118,148.35294117647058,2448.0748496055603,999.522468083045,494.00674962997437,34,394.00977463057137,730860.0,75.97860074043274,5000.0,2111.671321630478,870001.0
0.29272428,1.6155163e-05,19.663002,-0.0012669397,0.0049601584,0.00460965,5.6149883,0.9602386,0.93075216,1.7830342,127.06089,6.8897123,126.52585,0.99999994,0.14606026,-0.99999946,914,0.6845938,389,182.8,89,5,108.70952120214677,2890.67781829834,1307.5679456710816,619.7458391189575,5,836.0894553023851,0.15731972,134.97297297297297,1739.5503277778625,924.4157555812114,537.7085790634155,37,316.73668965402015,730897.0,75.76808452606201,5000.0,2187.548666000366,875001.0
0.28938425,6.6863613e-06,19.746613,-0.0012968169,0.004912846,0.0046537407,5.6078672,0.7964838,0.76674795,1.7806455,127.10785,6.8999796,126.57156,0.99999994,0.158096,-0.99999857,705,0.69443136,230,141.0,67,5,60.491321691627796,1519.788992881775,986.7808931350708,475.8869061470032,5,406.75606276759936,0.14441302,156.3125,1839.4454460144043,1081.8081437200308,515.3933143615723,32,333.66679538947244,730929.0,76.35980272293091,5000.0,2264.0213272571564,880001.0
0.28486663,-8.292412e-06,19.825705,-0.0013242225,0.0048510255,0.004694592,5.6075144,0.6888558,0.6592957,1.777409,126.96264,6.949641,126.419075,0.9999997,0.14052014,-0.9999995,861,0.6848962,301,172.2,99,5,72.09826627596533,2161.5296444892883,1235.8937912940978,722.6483931541443,5,512.9368162490016,0.15377663,139.8,1816.7576742172241,969.8661954607282,516.6089615821838,35,354.8283533997057,730964.0,75.90585613250732,5000.0,2340.037215232849,885001.0
