actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
0.0015081954,6.101465e-07,22.683426,-0.0013358676,2.5029176e-05,0.0051920493,12.747903,32.21655,32.210392,1.7641078,83.38624,0.97576153,83.824234,0.99887687,0.18801898,-0.95220023,2,0.67272747,2,2.0,2,1,0.0,12.233939170837402,12.233939170837402,12.233939170837402,1,0.0,0.13810919,83.06666666666666,897.2622294425964,461.7966324965159,249.9571042060852,60,99.15425356341038,1087.0,96.29747796058655,5000.0,1413.8126199245453,80000.0
0.0014660578,8.6637584e-07,23.206842,-0.0013211693,2.4056608e-05,0.005266332,12.745685,32.151863,32.14549,1.7749078,83.74152,1.0895255,84.19305,0.9994196,0.07004846,-0.99950874,5,0.81577265,5,5.0,5,1,0.0,32.635860443115234,32.635860443115234,32.635860443115234,1,0.0,0.11648596,81.5,1017.6226987838745,455.16747770770905,296.1729211807251,62,109.1668500249966,1149.0,93.63641357421875,5000.0,1507.5592086315155,85000.0
0.0013972545,8.5185485e-07,23.710594,-0.0013229524,2.2901473e-05,0.0053537535,12.743945,32.107555,32.10102,1.7818512,84.035126,1.1038973,84.49241,0.9999934,0.12604219,-0.9997765,105,0.6999488,105,105.0,105,1,0.0,556.4203791618347,556.4203791618347,556.4203791618347,1,0.0,0.12412955,82.8360655737705,765.8994326591492,462.78298628134803,321.24491119384766,61,89.80795013644142,1210.0,90.33570146560669,5000.0,1598.0107264518738,90000.0
0.0012196109,1.466058e-06,24.208006,-0.0013083381,1.9267329e-05,0.005423699,12.741774,32.04906,32.04243,1.7811836,84.41688,1.0588117,84.87263,0.999999,-0.017547144,-0.9999499,35,0.7747932,35,35.0,35,1,0.0,220.05668210983276,220.05668210983276,220.05668210983276,1,0.0,0.12716188,84.22033898305085,771.039312839508,469.99929603883777,313.95102310180664,59,93.16801049057288,1269.0,94.8812026977539,5000.0,1693.0060722827911,95000.0
0.001040261,1.3715478e-06,24.663713,-0.0012709091,1.6312892e-05,0.0054637403,12.737119,31.998144,31.991276,1.782683,84.63434,1.0399479,85.10367,0.9999899,0.07783239,-0.9998857,16,0.82846135,16,16.0,16,1,0.0,102.19625806808472,102.19625806808472,102.19625806808472,1,0.0,0.12418069,85.86206896551724,703.6390452384949,481.35107921320815,347.33336353302,58,84.00659442488273,1327.0,91.30299019813538,5000.0,1784.453638792038,100000.0
0.00091720716,9.441467e-07,25.097382,-0.0012321756,1.4648375e-05,0.0054987306,12.726796,31.950321,31.94329,1.7771436,84.91279,1.0789732,85.39004,0.9999975,0.024680037,-0.9999499,20,0.7840608,20,20.0,20,1,0.0,130.00629329681396,130.00629329681396,130.00629329681396,1,0.0,0.14956117,91.03636363636363,797.4643278121948,503.83916281353345,302.96736097335815,55,101.381274110917,1382.0,88.64928483963013,5000.0,1873.215663909912,105000.0
0.0007611694,1.1934155e-06,25.475426,-0.001196132,1.1746465e-05,0.0055269543,12.718341,31.884943,31.87783,1.7712705,85.235886,1.1650978,85.72221,0.999995,0.14131235,-0.99986446,51,0.76619434,51,51.0,51,1,0.0,294.30546617507935,294.30546617507935,294.30546617507935,1,0.0,0.13921607,89.82142857142857,772.2020044326782,504.0190376341343,252.10116863250732,56,98.59349472481846,1438.0,90.91763997077942,5000.0,1964.2454404830933,110000.0
0.00061351096,1.0513318e-06,25.826647,-0.00114153,9.378355e-06,0.0055320594,12.701464,31.83302,31.82577,1.7743092,85.47276,1.2798251,85.96508,0.9999995,0.13132153,-0.999971,73,0.76377726,73,73.0,73,1,0.0,444.19033193588257,444.19033193588257,444.19033193588257,1,0.0,0.12496094,89.28571428571429,673.641848564148,506.5187719634601,363.1754803657532,56,65.85967543359351,1494.0,89.05186915397644,5000.0,2053.4446909427643,115000.0
0.0004959168,8.3967046e-07,26.1671,-0.001139119,7.590914e-06,0.005587526,12.686602,31.78447,31.777063,1.7766324,85.813354,1.3108706,86.297905,0.99997944,0.05010737,-0.9999713,49,0.7821846,49,49.0,49,1,0.0,317.7118864059448,317.7118864059448,317.7118864059448,1,0.0,0.12909749,92.18518518518519,856.1322655677795,516.0080167540798,334.07910919189453,54,104.19103075352173,1548.0,86.51093864440918,5000.0,2140.091016292572,120000.0
0.00039220738,5.5850774e-07,26.490673,-0.0011474615,6.1090177e-06,0.0056508756,12.669873,31.726803,31.71925,1.7754879,86.11967,1.3728524,86.59957,0.9999945,0.09209503,-0.9999837,75,0.7747599,75,75.0,75,1,0.0,429.44542026519775,429.44542026519775,429.44542026519775,1,0.0,0.13038701,91.8,697.7785620689392,513.7317889517004,255.84330368041992,55,93.40657918594744,1603.0,90.35801148414612,5000.0,2230.575739622116,125000.0
